Date,Open,High,Low,Close,Adj Close,Volume
2021-11-09,2.048210,2.056517,1.934151,1.944144,1.944144,430282326
2021-11-10,1.945691,2.288544,1.843909,1.934534,1.934534,1096601258
2021-11-11,1.935207,2.057811,1.877416,2.031259,2.031259,726397489
2021-11-12,2.024011,2.339833,2.004339,2.150452,2.150452,1695116317
2021-11-13,2.145598,2.161721,2.035689,2.082551,2.082551,684136646
2021-11-14,2.078080,2.107323,1.920421,1.983129,1.983129,466084928
2021-11-15,1.984799,2.009321,1.864991,1.889635,1.889635,469597579
2021-11-16,1.894657,1.894657,1.569854,1.728312,1.728312,787276524
2021-11-17,1.726776,1.762581,1.598130,1.660823,1.660823,579988526
2021-11-18,1.659154,2.829822,1.650707,1.845844,1.845844,4203183528
2021-11-19,1.848139,1.907366,1.754579,1.880408,1.880408,977648884
2021-11-20,1.880169,1.904867,1.758714,1.836293,1.836293,458989518
2021-11-21,1.839078,1.892231,1.783899,1.833936,1.833936,441289829
2021-11-22,1.832576,1.838243,1.716305,1.735723,1.735723,453625871
2021-11-23,1.739386,1.849488,1.699246,1.833481,1.833481,467341509
2021-11-24,1.837293,1.870509,1.721098,1.789303,1.789303,481534594
2021-11-25,1.743253,1.844580,1.724642,1.752958,1.752958,424162726
2021-11-26,1.820242,1.822853,1.594131,1.596502,1.596502,572227584
2021-11-27,1.602864,1.725487,1.602864,1.678012,1.678012,392327404
2021-11-28,1.681224,1.713677,1.583598,1.711715,1.711715,339904708
2021-11-29,1.712651,1.826690,1.697671,1.777569,1.777569,454280625
2021-11-30,1.773564,1.873351,1.735184,1.813682,1.813682,511222408
2021-12-01,1.809628,2.021070,1.804040,1.967895,1.967895,786558602
2021-12-02,1.962470,2.042211,1.852555,1.883214,1.883214,636253482
2021-12-03,1.887896,1.941584,1.708497,1.743518,1.743518,479972708
2021-12-04,1.750707,1.750707,1.348361,1.651683,1.651683,783999565
2021-12-05,1.650185,1.758483,1.589669,1.758483,1.758483,722379679
2021-12-06,1.763416,1.855473,1.617126,1.772159,1.772159,973252801
2021-12-07,1.769492,1.809815,1.666273,1.690443,1.690443,454987178
2021-12-08,1.687549,1.700827,1.599421,1.697753,1.697753,278239642
2021-12-09,1.697210,1.714091,1.549767,1.549767,1.549767,314638284
2021-12-10,1.549912,1.598066,1.457802,1.460471,1.460471,286266331
2021-12-11,1.462660,1.572743,1.436053,1.526278,1.526278,232678452
2021-12-12,1.527011,1.566401,1.511223,1.542000,1.542000,170703415
2021-12-13,1.542283,1.558851,1.319557,1.321398,1.321398,300354759
2021-12-14,1.319835,1.383758,1.313722,1.323860,1.323860,280207962
2021-12-15,1.380513,1.453651,1.306432,1.426744,1.426744,252046202
